# Simulation Data — Safe-Concurrency Multi-Sensor Fusion System
# Source: Virtual Terminal (uPythonConsole - U1) dari Proteus 9.00
# Captured: 24 Mei 2026
# Format: Iteration  Temp(C)  Press(hPa)  Vib(arb)  Latency(us)  Status
# Status: 0=NORMAL, 1=FAULT_DETECTED, 2=LOCKOUT_ACTIVE, 3=LOCKOUT_CLEARED
# ─────────────────────────────────────────────────────────────────────────
0 25 1013 5 0 0
1 25 1013 5 0 0
2 25 1013 5 0 0
3 25 1013 5 0 0
4 25 1013 5 0 0
5 25 1013 5 0 0
6 25 1013 5 0 0
7 25 1013 5 0 0
8 25 1013 5 0 0
9 25 1013 5 0 0
10 25 1013 5 0 0
11 25 1013 5 0 0
12 99 1013 9999 15 1
13 99 1013 9999 0 2
14 99 1013 9999 0 2
15 99 1013 9999 0 2
16 99 1013 9999 0 3
17 99 1013 9999 15 1
18 99 1013 9999 0 2
19 99 1013 9999 0 2
20 99 1013 9999 0 2
21 99 1013 9999 0 3
22 99 1013 9999 15 1
23 99 1013 9999 0 2
24 99 1013 9999 0 2
25 99 1013 9999 0 2
26 99 1013 9999 0 3
27 99 1013 9999 15 1
28 99 1013 9999 0 2
29 99 1013 9999 0 2
30 99 1013 9999 0 2
31 99 1013 9999 0 3
32 99 1013 9999 15 1
33 99 1013 9999 0 2
34 99 1013 9999 0 2
35 99 1013 9999 0 2
36 99 1013 9999 0 3
37 99 1013 9999 15 1
38 99 1013 9999 0 2
39 99 1013 9999 0 2
40 99 1013 9999 0 2
41 99 1013 9999 0 3
42 99 1013 9999 15 1
43 99 1013 9999 0 2
44 99 1013 9999 0 2
45 99 1013 9999 0 2
46 99 1013 9999 0 3
47 99 1013 9999 15 1
48 99 1013 9999 0 2
49 99 1013 9999 0 2
50 99 1013 9999 0 2
51 99 1013 9999 0 3
52 99 1013 9999 15 1
53 99 1013 9999 0 2
54 99 1013 9999 0 2
55 99 1013 9999 0 2
56 99 1013 9999 0 3
57 99 1013 9999 15 1
58 99 1013 9999 0 2
59 99 1013 9999 0 2
60 99 1013 9999 0 2
